vehicle_id,week_start_date,ft_torque_util_60pct_s,ft_torque_util_70pct_s,ft_torque_util_80pct_s,ft_torque_util_90pct_s,ft_horsepower_util_50pct_s,ft_horsepower_util_60pct_s,ft_horsepower_util_70pct_s,ft_horsepower_util_80pct_s,ft_rpm_util_50pct_s,ft_rpm_util_60pct_s
1000507,1/23/2017,132,8087,41555,215,0,0,0,0,0,0
1000507,1/30/2017,66,15,738,80,0,0,0,0,0,0
1000507,2/13/2017,4,17989,39017,22,0,0,0,0,0,0
1000507,2/20/2017,197,24032,4427,23,0,0,0,0,0,0
1000508,12/26/2016,31,5040,5510,360,0,0,0,0,0,0
1000508,1/2/2017,17,102964,116677,163,0,0,0,0,0,0
1000508,1/9/2017,144,8223,8392,60,0,0,0,0,0,0
1000508,1/16/2017,2,36981,41423,142,0,0,0,0,0,0
1000508,1/23/2017,55,35708,27568,64,0,0,0,0,0,0
1000508,1/30/2017,27,25726,1438,2,0,0,0,0,0,0
1000508,2/13/2017,6,38538,46043,35,0,0,0,0,0,0
1000508,2/20/2017,41,12800,3600,30,0,0,0,0,0,0
1000508,2/27/2017,1,5759,56,53,0,0,0,0,0,0
1000509,12/26/2016,75,10459,6829,400,0,0,0,0,0,0
1000509,1/2/2017,229,72652,98242,17,0,0,0,0,0,0
1000509,1/9/2017,66,19834,15160,128,0,0,0,0,0,0
1000509,1/16/2017,46,45007,21057,5,0,0,0,0,0,0
1000509,1/23/2017,3,16860,26148,138,0,0,0,0,0,0
1000509,1/30/2017,4,16627,16064,63,0,0,0,0,0,0
1000509,2/13/2017,5,37004,6387,19,0,0,0,0,0,0
1000509,2/20/2017,4,20882,10392,200,0,0,0,0,0,0
1000510,12/26/2016,53,10419,4272,12,0,0,0,0,0,0
1000510,1/2/2017,105,112382,97589,116,0,0,0,0,0,0
1000510,1/9/2017,82,10487,9135,111,0,0,0,0,0,0
1000510,1/16/2017,61,40682,28493,215,0,0,0,0,0,0
1000510,1/23/2017,6,15428,25178,161,0,0,0,0,0,0
1000510,1/30/2017,39,10281,1787,291,0,0,0,0,0,0
1000510,2/13/2017,15,14931,24789,52,0,0,0,0,0,0
1000510,2/20/2017,51,5595,16598,101,0,0,0,0,0,0
1000510,2/27/2017,218,364,1416,43,0,0,0,0,0,0
1000511,12/26/2016,3,11836,7631,21,0,0,0,0,0,0
1000511,1/2/2017,245,95346,97115,59,0,0,0,0,0,0
1000511,1/9/2017,23,9832,22086,52,0,0,0,0,0,0
1000511,1/16/2017,15,32225,21786,19,0,0,0,0,0,0
1000511,1/23/2017,2,19881,43579,222,0,0,0,0,0,0
1000511,1/30/2017,46,1141,9,59,0,0,0,0,0,0
1000511,2/6/2017,8,803,5947,3,0,0,0,0,0,0
1000511,2/13/2017,24,28154,24687,35,0,0,0,0,0,0
1000511,2/20/2017,1,12816,8769,3,0,0,0,0,0,0
1000512,12/26/2016,149,13160,7506,364,0,0,0,0,0,0
1000512,1/2/2017,3,128093,132938,101,0,0,0,0,0,0
1000512,1/9/2017,119,9311,16031,208,0,0,0,0,0,0
1000512,1/16/2017,1,40302,25294,194,0,0,0,0,0,0
1000512,1/23/2017,35,15198,54740,1,0,0,0,0,0,0
1000512,1/30/2017,18,5342,15589,20,0,0,0,0,0,0
1000512,2/6/2017,11,53,2383,1,0,0,0,0,0,0
1000512,2/13/2017,1,30586,32412,28,0,0,0,0,0,0
1000512,2/20/2017,143,7264,6979,217,0,0,0,0,0,0
1000512,2/27/2017,10,6228,373,103,0,0,0,0,0,0
1000513,12/26/2016,51,20422,8972,162,0,0,0,0,0,0
1000513,1/2/2017,7,94459,112775,3,0,0,0,0,0,0
1000513,1/9/2017,12,14150,3894,9,0,0,0,0,0,0
1000513,1/16/2017,2,24989,19926,12,0,0,0,0,0,0
1000513,1/23/2017,3,17599,14729,475,0,0,0,0,0,0
1000513,1/30/2017,7,6503,36835,68,0,0,0,0,0,0
1000513,2/13/2017,91,26391,10664,25,0,0,0,0,0,0
1000513,2/20/2017,5,9739,19450,2,0,0,0,0,0,0
1000513,2/27/2017,6,14035,7687,3,0,0,0,0,0,0
1000514,12/26/2016,45,13933,5777,290,0,0,0,0,0,0
1000514,1/2/2017,134,74948,82527,11,0,0,0,0,0,0
1000514,1/9/2017,0,1099,5461,0,0,0,0,0,0,0
1000514,1/16/2017,0,30252,23539,0,0,0,0,0,0,0
1000514,1/23/2017,0,16253,48828,0,0,0,0,0,0,0
1000514,1/30/2017,0,12606,6451,0,0,0,0,0,0,0
1000514,2/13/2017,0,46103,33393,0,0,0,0,0,0,0
1000514,2/20/2017,0,5479,10905,0,0,0,0,0,0,0
1000514,2/27/2017,0,9222,45,0,0,0,0,0,0,0
1000515,12/26/2016,0,3065,11501,0,0,0,0,0,0,0
1000515,1/2/2017,0,98890,91003,0,0,0,0,0,0,0
1000515,1/9/2017,0,18951,18880,0,0,0,0,0,0,0
1000515,1/16/2017,0,53730,39694,0,0,0,0,0,0,0
1000515,1/23/2017,0,19116,8320,0,0,0,0,0,0,0
1000515,1/30/2017,0,928,5001,0,0,0,0,0,0,0
1000515,2/6/2017,0,859,3062,0,0,0,0,0,0,0
1000515,2/13/2017,0,32417,17038,0,0,0,0,0,0,0
1000515,2/20/2017,0,13136,29015,0,0,0,0,0,0,0
1000515,2/27/2017,0,1026,6673,0,0,0,0,0,0,0
1000516,12/26/2016,0,13382,15552,0,0,0,0,0,0,0
1000516,1/2/2017,0,82817,75610,0,0,0,0,0,0,0
1000516,1/9/2017,0,18495,20116,0,0,0,0,0,0,0
1000516,1/16/2017,0,21326,23599,0,0,0,0,0,0,0
1000516,1/23/2017,0,14997,19834,0,0,0,0,0,0,0
1000516,1/30/2017,0,13137,6451,0,0,0,0,0,0,0
1000516,2/13/2017,0,49236,59471,0,0,0,0,0,0,0
1000517,12/26/2016,0,9062,22494,0,0,0,0,0,0,0
1000517,1/2/2017,0,95039,85708,0,0,0,0,0,0,0
1000517,1/9/2017,0,16623,5250,0,0,0,0,0,0,0
1000517,1/16/2017,0,33458,11289,0,0,0,0,0,0,0
1000517,1/23/2017,0,24166,24483,0,0,0,0,0,0,0
1000517,1/30/2017,0,4311,6750,0,0,0,0,0,0,0
1000517,2/6/2017,0,2110,2076,0,0,0,0,0,0,0
1000517,2/13/2017,0,28202,15452,0,0,0,0,0,0,0
1000517,2/20/2017,0,8971,1275,0,0,0,0,0,0,0
1000517,2/27/2017,0,10318,10527,0,0,0,0,0,0,0
1000518,12/26/2016,0,1751,26802,0,0,0,0,0,0,0
1000518,1/2/2017,0,94171,95884,0,0,0,0,0,0,0
1000518,1/9/2017,0,14883,8376,0,0,0,0,0,0,0
1000518,1/16/2017,0,32604,30328,0,0,0,0,0,0,0
1000518,1/23/2017,0,15549,52946,0,0,0,0,0,0,0
1000518,1/30/2017,0,7072,10562,0,0,0,0,0,0,0
1000518,2/13/2017,0,32659,38928,0,0,0,0,0,0,0
1000518,2/20/2017,0,14529,17130,0,0,0,0,0,0,0
1000518,2/27/2017,0,7746,687,0,0,0,0,0,0,0
1000519,12/26/2016,0,16039,3349,0,0,0,0,0,0,0
1000519,1/2/2017,0,70168,91617,0,0,0,0,0,0,0
1000519,1/9/2017,0,1324,11951,0,0,0,0,0,0,0
1000519,1/16/2017,0,21828,22860,0,0,0,0,0,0,0
1000519,1/23/2017,0,12624,16511,0,0,0,0,0,0,0
1000519,1/30/2017,0,560,9972,0,0,0,0,0,0,0
1000519,2/6/2017,0,1216,6332,0,0,0,0,0,0,0
1000519,2/13/2017,0,32291,68258,0,0,0,0,0,0,0
1000519,2/20/2017,0,3,1607,0,0,0,0,0,0,0
