vehicle_id,week_start_date,total_light_rain_driving_km,total_light_freezing_rain_driving_km,total_light_snow_driving_km,total_moderate_rain_driving_km,total_moderate_freezing_rain_driving_km,total_moderate_snow_driving_km,total_heavy_rain_driving_km
1000509,1/23/2017,0,0,0,0,0,0,0
1000509,1/30/2017,0,0,0,0,0,0,0
1000509,2/13/2017,0,0,0,0,0,0,0
1000509,2/20/2017,0,0,0,0,0,0,0
1000510,12/26/2016,0,0,0,0,0,0,0
1000510,1/2/2017,0,0,0,0,0,0,0
1000510,1/9/2017,0,0,0,0,0,0,0
1000510,1/16/2017,0,0,0,0,0,0,0
1000510,1/23/2017,0,0,0,0,0,0,0
1000510,1/30/2017,0,0,0,0,0,0,0
1000510,2/13/2017,0,0,0,0,0,0,0
1000510,2/20/2017,0,0,0,0,0,0,0
1000510,2/27/2017,0,0,0,0,0,0,0
1000511,12/26/2016,0,0,0,0,0,0,0
1000511,1/2/2017,0,0,0,0,0,0,0
1000511,1/9/2017,0,0,0,0,0,0,0
1000511,1/16/2017,0,0,0,0,0,0,0
1000511,1/23/2017,0,0,0,0,0,0,0
1000511,1/30/2017,0,0,0,0,0,0,0
1000511,2/6/2017,0,0,0,0,0,0,0
1000511,2/13/2017,0,0,0,0,0,0,0
1000511,2/20/2017,0,0,0,0,0,0,0
1000512,12/26/2016,0,0,0,0,0,0,0
1000512,1/2/2017,0,0,0,0,0,0,0
1000512,1/9/2017,0,0,0,0,0,0,0
1000512,1/16/2017,0,0,0,0,0,0,0
1000512,1/23/2017,0,0,0,0,0,0,0
1000512,1/30/2017,0,0,0,0,0,0,0
1000512,2/6/2017,0,0,0,0,0,0,0
1000512,2/13/2017,0,0,0,0,0,0,0
1000512,2/20/2017,0,0,0,0,0,0,0
1000512,2/27/2017,0,0,0,0,0,0,0
1000513,12/26/2016,0,0,0,0,0,0,0
1000513,1/2/2017,0,0,0,0,0,0,0
1000513,1/9/2017,0,0,0,0,0,0,0
1000513,1/16/2017,0,0,0,0,0,0,0
1000513,1/23/2017,0,0,0,0,0,0,0
1000513,1/30/2017,0,0,0,0,0,0,0
1000513,2/13/2017,0,0,0,0,0,0,0
1000513,2/20/2017,0,0,0,0,0,0,0
1000513,2/27/2017,0,0,0,0,0,0,0
1000514,12/26/2016,0,0,0,0,0,0,0
1000514,1/2/2017,0,0,0,0,0,0,0
1000514,1/9/2017,0,0,0,0,0,0,0
1000514,1/16/2017,0,0,0,0,0,0,0
1000514,1/23/2017,0,0,0,0,0,0,0
1000514,1/30/2017,0,0,0,0,0,0,0
1000514,2/13/2017,0,0,0,0,0,0,0
1000514,2/20/2017,0,0,0,0,0,0,0
1000514,2/27/2017,0,0,0,0,0,0,0
1000515,12/26/2016,0,0,0,0,0,0,0
1000515,1/2/2017,0,0,0,0,0,0,0
1000515,1/9/2017,0,0,0,0,0,0,0
1000515,1/16/2017,0,0,0,0,0,0,0
1000515,1/23/2017,0,0,0,0,0,0,0
1000515,1/30/2017,0,0,0,0,0,0,0
1000515,2/6/2017,0,0,0,0,0,0,0
1000515,2/13/2017,0,0,0,0,0,0,0
1000515,2/20/2017,0,0,0,0,0,0,0
1000515,2/27/2017,0,0,0,0,0,0,0
1000516,12/26/2016,0,0,0,0,0,0,0
1000516,1/2/2017,0,0,0,0,0,0,0
1000516,1/9/2017,0,0,0,0,0,0,0
1000516,1/16/2017,0,0,0,0,0,0,0
1000516,1/23/2017,0,0,0,0,0,0,0
1000516,1/30/2017,0,0,0,0,0,0,0
1000516,2/13/2017,0,0,0,0,0,0,0
1000517,12/26/2016,0,0,0,0,0,0,0
1000517,1/2/2017,0,0,0,0,0,0,0
1000517,1/9/2017,0,0,0,0,0,0,0
1000517,1/16/2017,0,0,0,0,0,0,0
1000517,1/23/2017,0,0,0,0,0,0,0
1000517,1/30/2017,0,0,0,0,0,0,0
1000517,2/6/2017,0,0,0,0,0,0,0
1000517,2/13/2017,0,0,0,0,0,0,0
1000517,2/20/2017,0,0,0,0,0,0,0
1000517,2/27/2017,0,0,0,0,0,0,0
1000518,12/26/2016,0,0,0,0,0,0,0
1000518,1/2/2017,0,0,0,0,0,0,0
1000518,1/9/2017,0,0,0,0,0,0,0
1000518,1/16/2017,0,0,0,0,0,0,0
1000518,1/23/2017,0,0,0,0,0,0,0
1000518,1/30/2017,0,0,0,0,0,0,0
1000518,2/13/2017,0,0,0,0,0,0,0
1000518,2/20/2017,0,0,0,0,0,0,0
1000518,2/27/2017,0,0,0,0,0,0,0
1000519,12/26/2016,0,0,0,0,0,0,0
1000519,1/2/2017,0,0,0,0,0,0,0
1000519,1/9/2017,0,0,0,0,0,0,0
1000519,1/16/2017,0,0,0,0,0,0,0
1000519,1/23/2017,0,0,0,0,0,0,0
1000519,1/30/2017,0,0,0,0,0,0,0
1000519,2/6/2017,0,0,0,0,0,0,0
1000519,2/13/2017,0,0,0,0,0,0,0
1000519,2/20/2017,0,0,0,0,0,0,0
